,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
1763,[0.03982386],[0.267],[0.907],[0.64],[0.86717614],[0.64]
1764,[-0.34061906],[0.362],[1.312],[0.95],[1.65261906],[0.95]
1765,[0.30060497],[0.629],[1.669],[1.04],[1.36839503],[1.04]
1766,[0.0764645],[0.348],[1.358],[1.01],[1.2815355],[1.01]
1767,[0.18746905],[0.237],[1.267],[1.03],[1.07953095],[1.03]
1768,[0.11646591],[0.187],[1.177],[0.99],[1.06053409],[0.99]
1769,[0.10200229],[-0.04],[1.06],[1.1],[0.95799771],[1.1]
1770,[0.11731764],[-0.375],[1.095],[1.47],[0.97768236],[1.47]
1771,[0.2821705],[-0.534],[1.166],[1.7],[0.8838295],[1.7]
1772,[0.13214232],[-0.373],[1.157],[1.53],[1.02485768],[1.53]
1773,[0.13810934],[-0.275],[1.065],[1.34],[0.92689066],[1.34]
1774,[0.11336049],[-0.385],[0.965],[1.35],[0.85163951],[1.35]
1775,[0.02751992],[-0.428],[1.132],[1.56],[1.10448008],[1.56]
1776,[0.3125986],[-0.229],[1.211],[1.44],[0.89840141],[1.44]
1777,[0.0688775],[-0.213],[1.027],[1.24],[0.9581225],[1.24]
1778,[0.04033381],[-0.207],[0.883],[1.09],[0.84266619],[1.09]
1779,[0.16876642],[-0.355],[0.855],[1.21],[0.68623358],[1.21]
1780,[0.0295863],[-0.765],[1.135],[1.9],[1.1054137],[1.9]
1781,[0.44847304],[-0.546],[1.554],[2.1],[1.10552696],[2.1]
1782,[0.31238815],[-0.421],[1.689],[2.11],[1.37661185],[2.11]
1783,[0.17643255],[-0.444],[1.946],[2.39],[1.76956745],[2.39]
1784,[-0.18487443],[-0.116],[2.764],[2.88],[2.94887443],[2.88]
1785,[0.2871027],[0.389],[2.819],[2.43],[2.5318973],[2.43]
1786,[0.07276042],[0.079],[2.049],[1.97],[1.97623958],[1.97]
1787,[0.02945165],[-0.144],[1.476],[1.62],[1.44654835],[1.62]
1788,[0.03153407],[-0.174],[1.186],[1.36],[1.15446593],[1.36]
1789,[0.02826375],[-0.14],[1.01],[1.15],[0.98173625],[1.15]
1790,[0.02636629],[-0.136],[0.854],[0.99],[0.82763371],[0.99]
1791,[0.02569512],[-0.155],[0.715],[0.87],[0.68930488],[0.87]
1792,[0.0251241],[-0.167],[0.603],[0.77],[0.5778759],[0.77]
1793,[0.01888044],[-0.149],[0.551],[0.7],[0.53211956],[0.7]
1794,[-0.05076344],[-0.193],[0.547],[0.74],[0.59776344],[0.74]
