,timestamp,mm,grC,grC.1,m3/s,evapo_transp,grC1,grC2,grC3,grC4,grC5,grC6,grC7,grC8,grC9,grC10,mm1,mm2,mm3,mm4,mm5,mm6,mm7,mm8,mm9,mm10,EPOT,Q_obs,Q_sim,Residual
2301,2006-04-20,0.0,3.41,3.41,3.78,1.0,0.10772727272727278,0.42772727272727284,0.5627272727272727,0.6802272727272728,0.8027272727272728,0.9452272727272728,1.0952272727272727,1.2377272727272728,1.5827272727272728,2.275227272727273,6.975862587711818,7.220959521471818,7.324359790401818,7.414356320766818,7.5081824907218175,7.6173272190368175,7.732216406736817,7.841361135051818,8.105606266761818,8.636011349976817,1.21,3.78,2.906,-0.8739999999999997
2302,2006-04-21,0.0,3.91,3.91,3.95,1.0,0.10772727272727278,0.42772727272727284,0.5627272727272727,0.6802272727272728,0.8027272727272728,0.9452272727272728,1.0952272727272727,1.2377272727272728,1.5827272727272728,2.275227272727273,6.975862587711818,7.220959521471818,7.324359790401818,7.414356320766818,7.5081824907218175,7.6173272190368175,7.732216406736817,7.841361135051818,8.105606266761818,8.636011349976817,1.252,3.95,3.343,-0.6070000000000002
2303,2006-04-22,0.0,3.41,3.41,3.88,1.0,0.10772727272727278,0.42772727272727284,0.5627272727272727,0.6802272727272728,0.8027272727272728,0.9452272727272728,1.0952272727272727,1.2377272727272728,1.5827272727272728,2.275227272727273,6.975862587711818,7.220959521471818,7.324359790401818,7.414356320766818,7.5081824907218175,7.6173272190368175,7.732216406736817,7.841361135051818,8.105606266761818,8.636011349976817,1.294,3.88,3.2,-0.6799999999999997
2304,2006-04-23,0.0,5.05,5.05,4.78,1.0,0.10772727272727278,0.42772727272727284,0.5627272727272727,0.6802272727272728,0.8027272727272728,0.9452272727272728,1.0952272727272727,1.2377272727272728,1.5827272727272728,2.275227272727273,6.975862587711818,7.220959521471818,7.324359790401818,7.414356320766818,7.5081824907218175,7.6173272190368175,7.732216406736817,7.841361135051818,8.105606266761818,8.636011349976817,1.335,4.78,4.026,-0.7540000000000004
2305,2006-04-24,3.22,3.66,3.66,5.48,1.0,0.10772727272727278,0.42772727272727284,0.5627272727272727,0.6802272727272728,0.8027272727272728,0.9452272727272728,1.0952272727272727,1.2377272727272728,1.5827272727272728,2.275227272727273,6.975862587711818,7.220959521471818,7.324359790401818,7.414356320766818,7.5081824907218175,7.6173272190368175,7.732216406736817,7.841361135051818,8.105606266761818,8.636011349976817,1.3769999999999998,5.48,5.044,-0.4360000000000008
2306,2006-04-25,0.0,5.84,5.84,5.83,1.0,0.10772727272727278,0.42772727272727284,0.5627272727272727,0.6802272727272728,0.8027272727272728,0.9452272727272728,1.0952272727272727,1.2377272727272728,1.5827272727272728,2.275227272727273,6.975862587711818,7.220959521471818,7.324359790401818,7.414356320766818,7.5081824907218175,7.6173272190368175,7.732216406736817,7.841361135051818,8.105606266761818,8.636011349976817,1.419,5.83,4.941,-0.8890000000000002
2307,2006-04-26,1.61,4.78,4.78,5.33,1.0,0.10772727272727278,0.42772727272727284,0.5627272727272727,0.6802272727272728,0.8027272727272728,0.9452272727272728,1.0952272727272727,1.2377272727272728,1.5827272727272728,2.275227272727273,6.975862587711818,7.220959521471818,7.324359790401818,7.414356320766818,7.5081824907218175,7.6173272190368175,7.732216406736817,7.841361135051818,8.105606266761818,8.636011349976817,1.461,5.33,4.928,-0.40200000000000014
2308,2006-04-27,0.11,4.32,4.32,5.33,1.0,0.10772727272727278,0.42772727272727284,0.5627272727272727,0.6802272727272728,0.8027272727272728,0.9452272727272728,1.0952272727272727,1.2377272727272728,1.5827272727272728,2.275227272727273,6.975862587711818,7.220959521471818,7.324359790401818,7.414356320766818,7.5081824907218175,7.6173272190368175,7.732216406736817,7.841361135051818,8.105606266761818,8.636011349976817,1.503,5.33,4.258,-1.072
2309,2006-04-28,0.0,5.02,5.02,4.26,1.0,0.10772727272727278,0.42772727272727284,0.5627272727272727,0.6802272727272728,0.8027272727272728,0.9452272727272728,1.0952272727272727,1.2377272727272728,1.5827272727272728,2.275227272727273,6.975862587711818,7.220959521471818,7.324359790401818,7.414356320766818,7.5081824907218175,7.6173272190368175,7.732216406736817,7.841361135051818,8.105606266761818,8.636011349976817,1.545,4.26,4.004,-0.2560000000000002
2310,2006-04-29,3.25,4.71,4.71,3.82,1.0,0.10772727272727278,0.42772727272727284,0.5627272727272727,0.6802272727272728,0.8027272727272728,0.9452272727272728,1.0952272727272727,1.2377272727272728,1.5827272727272728,2.275227272727273,6.975862587711818,7.220959521471818,7.324359790401818,7.414356320766818,7.5081824907218175,7.6173272190368175,7.732216406736817,7.841361135051818,8.105606266761818,8.636011349976817,1.587,3.82,5.332999999999998,1.5129999999999997
2311,2006-04-30,4.72,4.26,4.26,4.86,1.0,0.10772727272727278,0.42772727272727284,0.5627272727272727,0.6802272727272728,0.8027272727272728,0.9452272727272728,1.0952272727272727,1.2377272727272728,1.5827272727272728,2.275227272727273,6.975862587711818,7.220959521471818,7.324359790401818,7.414356320766818,7.5081824907218175,7.6173272190368175,7.732216406736817,7.841361135051818,8.105606266761818,8.636011349976817,1.629,4.86,6.108,1.247999999999999
