,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
269,[0.34998557],[-2.88],[2.58],[5.46],[2.23001443],[5.46]
270,[0.20254008],[-0.479],[5.361],[5.84],[5.15845992],[5.84]
271,[0.15856577],[-0.609],[4.531],[5.14],[4.37243423],[5.14]
272,[0.20962334],[-0.759],[3.461],[4.22],[3.25137666],[4.22]
273,[0.4458832],[-1.31],[3.36],[4.67],[2.91411679],[4.67]
274,[0.6393684],[-0.656],[3.104],[3.76],[2.46463159],[3.76]
275,[0.667076],[-1.695],[2.635],[4.33],[1.96792401],[4.33]
276,[0.7237505],[-2.572],[2.378],[4.95],[1.65424953],[4.95]
277,[0.78328955],[-0.877],[1.753],[2.63],[0.96971045],[2.63]
278,[0.55764043],[-0.161],[1.479],[1.64],[0.92135957],[1.64]
279,[0.46139434],[0.035],[1.355],[1.32],[0.89360566],[1.32]
280,[0.4615247],[-0.231],[1.259],[1.49],[0.7974753],[1.49]
281,[0.37049586],[-0.204],[1.226],[1.43],[0.85550414],[1.43]
282,[0.21674374],[-0.622],[1.228],[1.85],[1.01125626],[1.85]
283,[0.1909953],[-0.51],[1.25],[1.76],[1.05900469],[1.76]
284,[0.28284103],[-0.613],[1.227],[1.84],[0.94415897],[1.84]
285,[0.0945142],[-0.85],[1.44],[2.29],[1.3454858],[2.29]
286,[0.272811],[-1.168],[1.242],[2.41],[0.969189],[2.41]
287,[0.40879256],[-1.279],[1.121],[2.4],[0.71220744],[2.4]
288,[0.46660706],[-1.031],[1.019],[2.05],[0.55239294],[2.05]
289,[0.4828576],[-0.959],[0.921],[1.88],[0.43814239],[1.88]
290,[0.48317847],[-0.739],[0.831],[1.57],[0.34782153],[1.57]
291,[0.46762222],[-0.633],[0.747],[1.38],[0.27937778],[1.38]
292,[-0.21331352],[-0.423],[6.147],[6.57],[6.36031352],[6.57]
293,[0.03045489],[-0.032],[4.568],[4.6],[4.53754511],[4.6]
294,[0.12568842],[-0.776],[2.024],[2.8],[1.89831158],[2.8]
295,[0.33741418],[-0.984],[0.946],[1.93],[0.60858582],[1.93]
296,[0.2595913],[-0.743],[0.867],[1.61],[0.60740869],[1.61]
297,[0.3729976],[-0.858],[0.792],[1.65],[0.41900239],[1.65]
298,[0.39682204],[-0.992],[0.698],[1.69],[0.30117796],[1.69]
299,[0.39004868],[-0.826],[0.614],[1.44],[0.22395132],[1.44]
300,[0.35670307],[-1.294],[0.536],[1.83],[0.17929693],[1.83]
301,[0.38356093],[-1.208],[0.462],[1.67],[0.07843907],[1.67]
302,[0.38657588],[-0.664],[0.396],[1.06],[0.00942412],[1.06]
303,[0.29501635],[-0.682],[0.338],[1.02],[0.04298365],[1.02]
304,[0.24997868],[-0.741],[0.289],[1.03],[0.03902132],[1.03]
305,[0.2702923],[-0.505],[0.245],[0.75],[-0.02529231],[0.75]
306,[0.21118332],[-0.622],[0.208],[0.83],[-0.00318332],[0.83]
307,[0.35673818],[1.264],[2.114],[0.85],[1.75726182],[0.85]
308,[0.3581658],[0.418],[1.188],[0.77],[0.8298342],[0.77]
309,[0.26328045],[-0.274],[0.396],[0.67],[0.13271955],[0.67]
310,[0.28858525],[-0.242],[0.338],[0.58],[0.04941475],[0.58]
311,[0.24840532],[0.197],[0.907],[0.71],[0.65859468],[0.71]
312,[0.29376212],[0.608],[1.898],[1.29],[1.60423788],[1.29]
313,[0.191162],[-1.808],[2.092],[3.9],[1.90083799],[3.9]
314,[-0.2753198],[0.718],[2.618],[1.9],[2.89331981],[1.9]
315,[-0.38168138],[0.469],[2.209],[1.74],[2.59068138],[1.74]
316,[-0.18333691],[-0.021],[1.039],[1.06],[1.22233691],[1.06]
317,[-0.12716515],[-0.266],[0.874],[1.14],[1.00116515],[1.14]
318,[-0.1674745],[-0.385],[0.895],[1.28],[1.06247449],[1.28]
319,[-0.16552329],[-1.449],[0.881],[2.33],[1.04652329],[2.33]
320,[-0.4549586],[-0.396],[2.964],[3.36],[3.41895859],[3.36]
321,[0.08108094],[0.673],[1.823],[1.15],[1.74191906],[1.15]
322,[-0.25122964],[-5.135],[0.995],[6.13],[1.24622964],[6.13]
323,[0.11667445],[2.73],[8.77],[6.04],[8.65332555],[6.04]
324,[0.172975],[1.848],[3.618],[1.77],[3.445025],[1.77]
325,[-0.16667981],[-1.829],[2.131],[3.96],[2.29767981],[3.96]
326,[0.1671837],[-0.48],[1.36],[1.84],[1.1928163],[1.84]
327,[-0.18531594],[-2.698],[1.782],[4.48],[1.96731594],[4.48]
328,[-0.34999788],[-0.042],[3.708],[3.75],[4.05799788],[3.75]
329,[-0.31992948],[1.263],[3.493],[2.23],[3.81292948],[2.23]
330,[-0.04810734],[0.461],[1.571],[1.11],[1.61910734],[1.11]
331,[0.04739859],[-0.617],[1.063],[1.68],[1.01560141],[1.68]
332,[-0.52899927],[-0.795],[2.745],[3.54],[3.27399927],[3.54]
333,[-0.18092296],[-0.301],[2.219],[2.52],[2.39992296],[2.52]
334,[-0.6666346],[-3.706],[3.644],[7.35],[4.31063462],[7.35]
335,[0.45577163],[-0.31],[9.93],[10.24],[9.47422837],[10.24]
336,[0.4402996],[1.99],[4.59],[2.6],[4.1497004],[2.6]
337,[0.02663543],[-0.547],[1.563],[2.11],[1.53636457],[2.11]
338,[-0.42801714],[-0.636],[2.474],[3.11],[2.90201714],[3.11]
339,[-0.15847495],[0.022],[1.802],[1.78],[1.96047495],[1.78]
340,[-0.03706826],[0.116],[1.116],[1.],[1.15306826],[1.]
341,[0.06265186],[0.2],[0.99],[0.79],[0.92734814],[0.79]
342,[0.17221414],[0.361],[0.891],[0.53],[0.71878586],[0.53]
343,[0.28698102],[0.066],[0.786],[0.72],[0.49901898],[0.72]
344,[-0.33736244],[0.629],[1.539],[0.91],[1.87636244],[0.91]
345,[0.16267039],[0.488],[1.018],[0.53],[0.85532961],[0.53]
346,[0.13213943],[0.37],[0.76],[0.39],[0.62786057],[0.39]
347,[0.3341878],[0.384],[0.684],[0.3],[0.34981219],[0.3]
348,[0.08976474],[0.399],[0.649],[0.25],[0.55923526],[0.25]
349,[0.33654064],[0.396],[0.596],[0.2],[0.25945936],[0.2]
350,[0.36698338],[-3.749],[0.521],[4.27],[0.15401662],[4.27]
351,[-0.22839727],[0.469],[7.669],[7.2],[7.89739727],[7.2]
352,[-0.33067968],[1.113],[4.993],[3.88],[5.32367968],[3.88]
