date        time     P_O_Myra_131moh   T_Myra_131moh   T_Myra_131moh          Q_Myra 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.02.2006  00:00:00           0.100           5.630           5.630           1.640 
02.02.2006  00:00:00          16.850           5.100           5.100           3.370 
03.02.2006  00:00:00           8.070           2.990           2.990           1.450 
04.02.2006  00:00:00           0.210           0.710           0.710           1.000 
05.02.2006  00:00:00          27.500           0.930           0.930           5.560 
06.02.2006  00:00:00          37.820           2.160           2.160          13.670 
07.02.2006  00:00:00          42.410           3.290           3.290           6.120 
08.02.2006  00:00:00           1.710          -0.320          -0.320           1.240 
09.02.2006  00:00:00           9.330          -1.010          -1.010           0.650 
10.02.2006  00:00:00           6.440          -1.850          -1.850           0.450 
11.02.2006  00:00:00          15.670          -1.020          -1.020           0.370 
12.02.2006  00:00:00           0.000          -1.280          -1.280           0.320 
13.02.2006  00:00:00           0.000          -0.100          -0.100           0.320 
14.02.2006  00:00:00           0.000           0.720           0.720           0.350 
15.02.2006  00:00:00           0.000           2.310           2.310           0.470 
16.02.2006  00:00:00           0.000           2.450           2.450           0.350 
17.02.2006  00:00:00           0.000           1.920           1.920           0.220 
18.02.2006  00:00:00           1.290          -0.210          -0.210           0.170 
19.02.2006  00:00:00           1.890          -2.280          -2.280           0.160 
20.02.2006  00:00:00           7.660          -0.810          -0.810           0.390 
21.02.2006  00:00:00           2.860           0.790           0.790           0.370 
22.02.2006  00:00:00           0.000          -0.540          -0.540           0.280 
23.02.2006  00:00:00           8.840           2.230           2.230           1.420 
24.02.2006  00:00:00           0.640           3.140           3.140           0.780 
25.02.2006  00:00:00           4.300           1.900           1.900           0.590 
26.02.2006  00:00:00          10.160          -1.070          -1.070           0.340 
27.02.2006  00:00:00          11.170          -1.850          -1.850           0.260 
28.02.2006  00:00:00           5.960          -5.510          -5.510           0.220 
01.03.2006  00:00:00           0.000          -8.690          -8.690           0.160 
02.03.2006  00:00:00           0.000         -10.420         -10.420           0.160 
03.03.2006  00:00:00           0.000          -6.500          -6.500           0.140 
04.03.2006  00:00:00           0.000          -7.440          -7.440           0.120 
05.03.2006  00:00:00           0.000          -8.880          -8.880           0.100 
06.03.2006  00:00:00           0.000          -8.180          -8.180           0.090 
07.03.2006  00:00:00           2.540          -4.690          -4.690           0.110 
08.03.2006  00:00:00           0.000          -3.520          -3.520           0.110 
09.03.2006  00:00:00           0.000          -4.700          -4.700           0.110 
10.03.2006  00:00:00           0.000          -4.770          -4.770           0.110 
11.03.2006  00:00:00           0.000          -6.690          -6.690           0.120 
12.03.2006  00:00:00           0.000          -5.800          -5.800           0.130 
13.03.2006  00:00:00           0.000          -1.360          -1.360           0.120 
14.03.2006  00:00:00           0.000           1.910           1.910           0.110 
15.03.2006  00:00:00           0.000          -1.490          -1.490           0.110 
16.03.2006  00:00:00           0.000          -3.420          -3.420           0.110 
17.03.2006  00:00:00           0.000          -1.860          -1.860           0.100 
18.03.2006  00:00:00           7.270           1.410           1.410           2.150 
19.03.2006  00:00:00          12.020           2.750           2.750           1.380 
20.03.2006  00:00:00          13.910          -2.210          -2.210           0.490 
21.03.2006  00:00:00          18.590          -2.770          -2.770           0.300 
22.03.2006  00:00:00           3.150          -5.520          -5.520           0.220 
23.03.2006  00:00:00           0.000          -5.120          -5.120           0.160 
24.03.2006  00:00:00           0.040          -5.260          -5.260           0.130 
25.03.2006  00:00:00           0.000          -3.920          -3.920           0.120 
26.03.2006  00:00:00           0.000          -1.710          -1.710           0.110 
27.03.2006  00:00:00           0.000           0.050           0.050           0.110 
28.03.2006  00:00:00           0.040           1.750           1.750           0.100 
29.03.2006  00:00:00           1.420           3.410           3.410           0.120 
30.03.2006  00:00:00           7.530           1.580           1.580           0.210 
31.03.2006  00:00:00           3.460           0.260           0.260           0.200 
01.04.2006  00:00:00           3.940           0.860           0.860           0.170 
02.04.2006  00:00:00           3.710          -1.300          -1.300           0.150 
03.04.2006  00:00:00           0.000          -1.290          -1.290           0.140 
04.04.2006  00:00:00           0.630           0.570           0.570           0.140 
05.04.2006  00:00:00           1.940          -0.680          -0.680           0.150 
06.04.2006  00:00:00           0.000           0.530           0.530           0.150 
07.04.2006  00:00:00           0.000           2.010           2.010           0.180 
08.04.2006  00:00:00           0.000           1.750           1.750           0.250 
09.04.2006  00:00:00           0.000           2.180           2.180           0.270 
10.04.2006  00:00:00           4.980           2.490           2.490           0.490 
11.04.2006  00:00:00           3.880           0.570           0.570           0.410 
12.04.2006  00:00:00           0.000           1.960           1.960           0.340 
13.04.2006  00:00:00           0.000           4.330           4.330           0.700 
14.04.2006  00:00:00           0.160           4.940           4.940           1.350 
15.04.2006  00:00:00          11.090           3.910           3.910           2.530 
16.04.2006  00:00:00           0.090           4.090           4.090           1.190 
17.04.2006  00:00:00           1.570           3.150           3.150           0.820 
18.04.2006  00:00:00           5.520           1.660           1.660           0.630 
19.04.2006  00:00:00           8.930           2.270           2.270           1.420 
20.04.2006  00:00:00           4.230           2.860           2.860           0.810 
21.04.2006  00:00:00           2.900           1.640           1.640           0.500 
22.04.2006  00:00:00           0.030           3.020           3.020           0.390 
23.04.2006  00:00:00           0.000           5.610           5.610           0.620 
24.04.2006  00:00:00           0.050           5.340           5.340           0.610 
25.04.2006  00:00:00           0.000           6.340           6.340           0.580 
26.04.2006  00:00:00           0.000           7.600           7.600           1.130 
27.04.2006  00:00:00           3.130           4.980           4.980           0.700 
28.04.2006  00:00:00           2.630           3.380           3.380           0.490 
29.04.2006  00:00:00           0.270           3.740           3.740           0.410 
30.04.2006  00:00:00           0.000           7.570           7.570           0.780 
01.05.2006  00:00:00           0.000           9.660           9.660           0.940 
02.05.2006  00:00:00           0.000           8.150           8.150           0.650 
03.05.2006  00:00:00           0.000           7.980           7.980           0.580 
04.05.2006  00:00:00           0.000          10.160          10.160           0.940 
