date        time     P_O_Jogla_877mo  T_Jogla_877moh  T_Jogla_877moh         Q_Jogla 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
20.11.2000  00:00:00          12.290          -0.510          -0.510           2.420 
21.11.2000  00:00:00          12.240           0.430           0.430           1.690 
22.11.2000  00:00:00           8.930          -0.200          -0.200           1.110 
23.11.2000  00:00:00          38.860          -0.680          -0.680           1.960 
24.11.2000  00:00:00           5.020           0.750           0.750           2.770 
25.11.2000  00:00:00          17.090           0.400           0.400           2.110 
26.11.2000  00:00:00           8.390           0.560           0.560           1.470 
27.11.2000  00:00:00          17.170           0.360           0.360           1.450 
28.11.2000  00:00:00           8.290          -0.250          -0.250           1.180 
29.11.2000  00:00:00          13.030           0.450           0.450           2.550 
30.11.2000  00:00:00           8.030           2.390           2.390           5.140 
01.12.2000  00:00:00           2.760           0.720           0.720           4.200 
02.12.2000  00:00:00          11.000           2.920           2.920           7.330 
03.12.2000  00:00:00           3.090           2.810           2.810           7.380 
04.12.2000  00:00:00           2.470           1.570           1.570           3.790 
05.12.2000  00:00:00          21.000           2.270           2.270           8.660 
06.12.2000  00:00:00          20.520           4.060           4.060          12.330 
07.12.2000  00:00:00           3.140           3.980           3.980           6.550 
08.12.2000  00:00:00           1.910           1.470           1.470           2.990 
09.12.2000  00:00:00          10.280           1.940           1.940           5.430 
10.12.2000  00:00:00          30.950           1.760           1.760           5.590 
11.12.2000  00:00:00          12.270           1.250           1.250           2.990 
12.12.2000  00:00:00           5.080           0.260           0.260           1.860 
13.12.2000  00:00:00          23.480           1.380           1.380          10.220 
14.12.2000  00:00:00          34.220           0.230           0.230           4.120 
15.12.2000  00:00:00          15.870          -0.560          -0.560           2.110 
16.12.2000  00:00:00           1.770          -2.370          -2.370           1.280 
17.12.2000  00:00:00           0.000          -6.000          -6.000           1.460 
18.12.2000  00:00:00           0.000          -6.980          -6.980           1.230 
19.12.2000  00:00:00           0.000          -8.620          -8.620           1.330 
20.12.2000  00:00:00           0.000          -4.710          -4.710           1.200 
21.12.2000  00:00:00           0.000          -2.260          -2.260           0.670 
22.12.2000  00:00:00           0.000         -10.430         -10.430           0.650 
23.12.2000  00:00:00           0.000          -9.470          -9.470           0.720 
24.12.2000  00:00:00           0.000          -7.490          -7.490           0.840 
25.12.2000  00:00:00           0.000         -11.730         -11.730           1.150 
26.12.2000  00:00:00           0.000         -14.030         -14.030           0.400 
27.12.2000  00:00:00          13.770          -6.190          -6.190           1.720 
28.12.2000  00:00:00           0.000          -6.780          -6.780           1.070 
29.12.2000  00:00:00           0.120          -7.310          -7.310           0.570 
30.12.2000  00:00:00           0.130          -8.790          -8.790           0.420 
31.12.2000  00:00:00           0.000         -15.700         -15.700           0.240 
01.01.2001  00:00:00           2.090          -9.120          -9.120           0.280 
02.01.2001  00:00:00           6.240          -4.750          -4.750           0.370 
03.01.2001  00:00:00           8.310          -2.430          -2.430           0.420 
04.01.2001  00:00:00          13.220          -1.070          -1.070           0.330 
05.01.2001  00:00:00           5.580          -1.080          -1.080           0.260 
06.01.2001  00:00:00           8.900          -1.780          -1.780           0.270 
07.01.2001  00:00:00          11.990          -2.350          -2.350           0.280 
08.01.2001  00:00:00           5.040          -1.520          -1.520           0.250 
09.01.2001  00:00:00           0.870          -3.920          -3.920           0.230 
10.01.2001  00:00:00           0.000         -12.530         -12.530           0.210 
11.01.2001  00:00:00           0.000         -13.150         -13.150           0.200 
12.01.2001  00:00:00           0.000          -3.760          -3.760           0.190 
13.01.2001  00:00:00           0.000         -11.120         -11.120           0.180 
14.01.2001  00:00:00           0.000         -13.320         -13.320           0.170 
15.01.2001  00:00:00           0.000         -16.150         -16.150           0.160 
16.01.2001  00:00:00           0.000         -19.260         -19.260           0.150 
17.01.2001  00:00:00           0.000         -20.880         -20.880           0.150 
18.01.2001  00:00:00           0.000         -20.840         -20.840           0.140 
19.01.2001  00:00:00           0.090          -6.630          -6.630           0.140 
20.01.2001  00:00:00           0.000          -7.460          -7.460           0.130 
21.01.2001  00:00:00           0.000          -8.130          -8.130           0.130 
22.01.2001  00:00:00           3.320          -5.770          -5.770           0.130 
23.01.2001  00:00:00           3.150          -6.370          -6.370           0.140 
