date        time     P_O_Lye2_178moh   T_Lye2_178moh   T_Lye2_178moh          Q_Lye2 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
23.02.2006  00:00:00           0.000          -0.150          -0.150           0.010 
24.02.2006  00:00:00           0.100           4.400           4.400           0.010 
25.02.2006  00:00:00           0.000           1.500           1.500           0.010 
26.02.2006  00:00:00           0.300           0.850           0.850           0.010 
27.02.2006  00:00:00           0.000          -0.950          -0.950           0.010 
28.02.2006  00:00:00          16.450          -2.200          -2.200           0.010 
01.03.2006  00:00:00           4.900          -2.900          -2.900           0.010 
02.03.2006  00:00:00           0.000          -5.400          -5.400           0.010 
03.03.2006  00:00:00           0.000          -3.700          -3.700           0.010 
04.03.2006  00:00:00           0.000          -9.100          -9.100           0.010 
05.03.2006  00:00:00           0.000          -7.800          -7.800           0.010 
06.03.2006  00:00:00           3.700          -5.400          -5.400           0.010 
07.03.2006  00:00:00           0.000          -6.350          -6.350           0.010 
08.03.2006  00:00:00           3.950          -3.250          -3.250           0.010 
09.03.2006  00:00:00           0.000          -0.600          -0.600           0.010 
10.03.2006  00:00:00           0.000          -3.400          -3.400           0.010 
11.03.2006  00:00:00           0.000          -6.650          -6.650           0.010 
12.03.2006  00:00:00           0.000          -5.600          -5.600           0.010 
13.03.2006  00:00:00           0.000          -2.700          -2.700           0.010 
14.03.2006  00:00:00           0.000          -2.800          -2.800           0.010 
15.03.2006  00:00:00           0.000          -4.750          -4.750           0.010 
16.03.2006  00:00:00           0.000          -2.700          -2.700           0.010 
17.03.2006  00:00:00           0.000          -0.400          -0.400           0.010 
18.03.2006  00:00:00           0.000          -0.400          -0.400           0.010 
19.03.2006  00:00:00           0.000           2.100           2.100           0.030 
20.03.2006  00:00:00           0.000           1.800           1.800           0.030 
21.03.2006  00:00:00           0.000          -1.550          -1.550           0.020 
22.03.2006  00:00:00           0.600          -3.450          -3.450           0.010 
23.03.2006  00:00:00           0.550          -3.100          -3.100           0.020 
24.03.2006  00:00:00           0.000          -2.850          -2.850           0.010 
25.03.2006  00:00:00           0.000           0.150           0.150           0.010 
26.03.2006  00:00:00           0.000           1.300           1.300           0.010 
27.03.2006  00:00:00           4.900           1.400           1.400           0.050 
28.03.2006  00:00:00           8.500           5.100           5.100           0.090 
29.03.2006  00:00:00           4.450           4.900           4.900           0.090 
30.03.2006  00:00:00           4.550           3.950           3.950           0.060 
31.03.2006  00:00:00           1.700           5.000           5.000           0.040 
01.04.2006  00:00:00           0.000           2.150           2.150           0.030 
02.04.2006  00:00:00           3.950           1.950           1.950           0.090 
03.04.2006  00:00:00          12.350           3.150           3.150           0.080 
04.04.2006  00:00:00           1.500           2.950           2.950           0.050 
05.04.2006  00:00:00           0.550           0.900           0.900           0.030 
06.04.2006  00:00:00           6.250           2.050           2.050           0.080 
07.04.2006  00:00:00           8.000           3.300           3.300           0.110 
08.04.2006  00:00:00          24.950           3.450           3.450           0.450 
09.04.2006  00:00:00          11.100           1.050           1.050           0.120 
10.04.2006  00:00:00           0.000           2.550           2.550           0.070 
11.04.2006  00:00:00           0.300           2.550           2.550           0.060 
12.04.2006  00:00:00          10.500           1.550           1.550           0.080 
13.04.2006  00:00:00          16.300           4.300           4.300           0.430 
14.04.2006  00:00:00          18.450           3.950           3.950           0.140 
15.04.2006  00:00:00           0.700           3.950           3.950           0.050 
16.04.2006  00:00:00           1.550           5.450           5.450           0.050 
17.04.2006  00:00:00           5.750           4.700           4.700           0.050 
18.04.2006  00:00:00           6.550           3.450           3.450           0.060 
19.04.2006  00:00:00           2.800           4.150           4.150           0.040 
20.04.2006  00:00:00           7.100           3.550           3.550           0.030 
21.04.2006  00:00:00           0.000           2.650           2.650           0.020 
22.04.2006  00:00:00           0.000           4.150           4.150           0.020 
23.04.2006  00:00:00           1.850           6.200           6.200           0.040 
24.04.2006  00:00:00          10.000           4.200           4.200           0.030 
25.04.2006  00:00:00           2.350           4.900           4.900           0.020 
26.04.2006  00:00:00           4.250           6.150           6.150           0.020 
27.04.2006  00:00:00           1.450           4.850           4.850           0.020 
28.04.2006  00:00:00           0.100           5.200           5.200           0.010 
29.04.2006  00:00:00           0.300           5.150           5.150           0.010 
