date        time     P_O_Fura_561moh   T_Fura_561moh   T_Fura_561moh          Q_Fura 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
03.09.2008  00:00:00           8.660          12.570          12.570           4.930 
04.09.2008  00:00:00           0.000           8.680           8.680           2.200 
05.09.2008  00:00:00           4.740           8.120           8.120           1.320 
06.09.2008  00:00:00           3.160           7.930           7.930           0.700 
07.09.2008  00:00:00           0.000           6.270           6.270           0.460 
08.09.2008  00:00:00           8.090           9.330           9.330           1.380 
09.09.2008  00:00:00           2.860           8.150           8.150           1.270 
10.09.2008  00:00:00           0.700           6.940           6.940           0.710 
11.09.2008  00:00:00           0.030           6.950           6.950           0.540 
12.09.2008  00:00:00           0.000           6.920           6.920           0.420 
13.09.2008  00:00:00           0.000           5.230           5.230           0.320 
14.09.2008  00:00:00           0.000           5.980           5.980           0.250 
15.09.2008  00:00:00           0.000           5.010           5.010           0.210 
16.09.2008  00:00:00           0.000           4.640           4.640           0.190 
17.09.2008  00:00:00           0.000           3.090           3.090           0.180 
18.09.2008  00:00:00           0.000           3.590           3.590           0.160 
19.09.2008  00:00:00           0.000           4.830           4.830           0.150 
20.09.2008  00:00:00           0.000           6.030           6.030           0.140 
21.09.2008  00:00:00           0.000           7.380           7.380           0.130 
22.09.2008  00:00:00           0.000           6.940           6.940           0.120 
23.09.2008  00:00:00           0.000           6.830           6.830           0.120 
24.09.2008  00:00:00           0.000           6.370           6.370           0.110 
25.09.2008  00:00:00           0.000           7.530           7.530           0.100 
26.09.2008  00:00:00           0.000           8.280           8.280           0.100 
27.09.2008  00:00:00           0.000          10.050          10.050           0.090 
28.09.2008  00:00:00           0.000           6.990           6.990           0.090 
29.09.2008  00:00:00           0.000           4.150           4.150           0.080 
30.09.2008  00:00:00           0.000           2.840           2.840           0.080 
01.10.2008  00:00:00           4.700           3.890           3.890           0.310 
02.10.2008  00:00:00           3.520           4.190           4.190           0.500 
03.10.2008  00:00:00           1.380           5.050           5.050           0.590 
04.10.2008  00:00:00          13.740           2.390           2.390           2.570 
05.10.2008  00:00:00          16.140           2.030           2.030           3.980 
06.10.2008  00:00:00           0.320           1.260           1.260           1.850 
07.10.2008  00:00:00           0.000           2.370           2.370           0.940 
08.10.2008  00:00:00           0.000           1.070           1.070           1.280 
09.10.2008  00:00:00           8.520           6.470           6.470           3.870 
10.10.2008  00:00:00           0.000           5.570           5.570           1.510 
11.10.2008  00:00:00           3.700           6.480           6.480           1.410 
12.10.2008  00:00:00           0.000           7.350           7.350           0.780 
13.10.2008  00:00:00           0.030           5.940           5.940           0.590 
14.10.2008  00:00:00           0.000           4.690           4.690           0.470 
15.10.2008  00:00:00           0.000           2.790           2.790           0.370 
16.10.2008  00:00:00           0.040           1.500           1.500           0.340 
17.10.2008  00:00:00           0.000           1.540           1.540           0.310 
18.10.2008  00:00:00           0.000           1.460           1.460           0.270 
19.10.2008  00:00:00           3.680           1.300           1.300           0.270 
20.10.2008  00:00:00           3.610           2.750           2.750           0.490 
21.10.2008  00:00:00           2.000           6.880           6.880           0.920 
22.10.2008  00:00:00           0.000           3.870           3.870           0.560 
23.10.2008  00:00:00           0.000           1.140           1.140           0.670 
24.10.2008  00:00:00           6.500           5.210           5.210           5.640 
25.10.2008  00:00:00           0.580           4.910           4.910           2.030 
26.10.2008  00:00:00           4.850           4.820           4.820           2.280 
27.10.2008  00:00:00           0.000           3.700           3.700           1.050 
28.10.2008  00:00:00           0.000          -0.690          -0.690           0.630 
29.10.2008  00:00:00           0.040          -2.590          -2.590           0.480 
30.10.2008  00:00:00           7.920          -3.270          -3.270           0.420 
31.10.2008  00:00:00           1.800          -1.200          -1.200           0.360 
01.11.2008  00:00:00           0.000          -4.880          -4.880           0.230 
02.11.2008  00:00:00           0.000          -7.210          -7.210           0.260 
03.11.2008  00:00:00           0.000          -1.160          -1.160           0.310 
04.11.2008  00:00:00           0.000           0.840           0.840           0.290 
05.11.2008  00:00:00           0.000          -0.470          -0.470           0.260 
06.11.2008  00:00:00           0.000          -3.660          -3.660           0.230 
07.11.2008  00:00:00           0.000          -2.590          -2.590           0.230 
08.11.2008  00:00:00           4.810          -3.630          -3.630           0.250 
09.11.2008  00:00:00           1.430           0.740           0.740           1.010 
10.11.2008  00:00:00           6.990           1.280           1.280           3.920 
11.11.2008  00:00:00           4.380           0.020           0.020           2.300 
12.11.2008  00:00:00           0.000          -2.620          -2.620           1.120 
13.11.2008  00:00:00           0.000          -6.130          -6.130           0.660 
14.11.2008  00:00:00           6.810          -3.660          -3.660           0.560 
15.11.2008  00:00:00           9.810          -0.290          -0.290           0.670 
