,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
516,[0.10661924],[-0.109],[0.011],[0.12],[-0.09561924],[0.12]
517,[0.01560035],[-0.109],[0.011],[0.12],[-0.00460035],[0.12]
518,[-0.05022895],[-0.11],[0.01],[0.12],[0.06022895],[0.12]
519,[-0.12037915],[-0.1],[0.01],[0.11],[0.13037915],[0.11]
520,[-0.09929186],[-0.1],[0.01],[0.11],[0.10929186],[0.11]
521,[-0.06090617],[-0.101],[0.009],[0.11],[0.06990617],[0.11]
522,[-0.09920144],[-0.102],[0.008],[0.11],[0.10720144],[0.11]
523,[-0.04577705],[-0.093],[0.007],[0.1],[0.05277705],[0.1]
524,[-0.00866205],[-0.094],[0.006],[0.1],[0.01466205],[0.1]
525,[0.00578231],[-0.094],[0.006],[0.1],[0.00021769],[0.1]
526,[-0.01168603],[-0.085],[0.005],[0.09],[0.01668603],[0.09]
527,[-0.00565261],[-0.086],[0.004],[0.09],[0.00965261],[0.09]
528,[-0.00044742],[-0.086],[0.004],[0.09],[0.00444742],[0.09]
529,[-0.05031818],[-0.087],[0.003],[0.09],[0.05331818],[0.09]
530,[-0.05478117],[-0.076],[0.004],[0.08],[0.05878117],[0.08]
531,[0.03736395],[-0.07],[0.01],[0.08],[-0.02736395],[0.08]
532,[-0.01543218],[-0.064],[0.016],[0.08],[0.03143218],[0.08]
533,[0.00212389],[-0.063],[0.017],[0.08],[0.01487611],[0.08]
534,[-0.00834852],[-0.052],[0.018],[0.07],[0.02634852],[0.07]
535,[-0.00625953],[-0.053],[0.017],[0.07],[0.02325953],[0.07]
536,[-0.00860929],[-0.055],[0.015],[0.07],[0.02360929],[0.07]
537,[-0.01181215],[-0.047],[0.013],[0.06],[0.02481215],[0.06]
538,[-0.0205338],[-0.048],[0.012],[0.06],[0.0325338],[0.06]
539,[-0.06741238],[-0.05],[0.01],[0.06],[0.07741238],[0.06]
540,[-0.08277363],[-0.051],[0.009],[0.06],[0.09177363],[0.06]
541,[-0.11038619],[-0.042],[0.008],[0.05],[0.11838619],[0.05]
542,[-0.06879747],[-0.042],[0.008],[0.05],[0.07679747],[0.05]
543,[-0.06019422],[-0.042],[0.008],[0.05],[0.06819422],[0.05]
544,[-0.09333217],[-0.042],[0.008],[0.05],[0.10133217],[0.05]
545,[0.02105117],[-0.031],[0.009],[0.04],[-0.01205117],[0.04]
546,[-0.02086079],[-0.032],[0.008],[0.04],[0.02886079],[0.04]
547,[-0.02404058],[-0.033],[0.007],[0.04],[0.03104058],[0.04]
548,[-0.03527114],[-0.024],[0.006],[0.03],[0.04127114],[0.03]
549,[-0.02104416],[-0.025],[0.005],[0.03],[0.02604416],[0.03]
550,[-0.02009517],[-0.025],[0.005],[0.03],[0.02509517],[0.03]
551,[-0.01679853],[-0.026],[0.004],[0.03],[0.02079853],[0.03]
552,[-0.02006277],[-0.016],[0.004],[0.02],[0.02406277],[0.02]
553,[-0.03299513],[-0.017],[0.003],[0.02],[0.03599513],[0.02]
554,[-0.01795787],[-0.01],[0.01],[0.02],[0.02795787],[0.02]
555,[-0.1146813],[0.018],[0.038],[0.02],[0.1526813],[0.02]
556,[-0.13634962],[0.066],[0.076],[0.01],[0.21234962],[0.01]
557,[-0.12481618],[0.113],[0.123],[0.01],[0.24781618],[0.01]
558,[0.22525473],[0.215],[0.265],[0.05],[0.03974527],[0.05]
559,[0.3338958],[-0.243],[0.377],[0.62],[0.0431042],[0.62]
560,[0.14325747],[0.174],[0.384],[0.21],[0.24074253],[0.21]
561,[0.1623919],[0.22],[0.34],[0.12],[0.1776081],[0.12]
562,[0.12136659],[0.199],[0.299],[0.1],[0.17763341],[0.1]
563,[0.08028042],[0.173],[0.263],[0.09],[0.18271958],[0.09]
564,[-0.06544554],[0.147],[0.237],[0.09],[0.30244554],[0.09]
565,[-0.07140583],[0.1],[0.26],[0.16],[0.33140583],[0.16]
566,[-0.3300656],[0.197],[0.407],[0.21],[0.73706561],[0.21]
567,[0.2330004],[1.521],[1.701],[0.18],[1.4679996],[0.18]
568,[0.679335],[2.041],[2.201],[0.16],[1.521665],[0.16]
569,[0.5607838],[0.967],[1.137],[0.17],[0.5762162],[0.17]
