,predicted_residual,observed_residual,hbv_simulated,hbv_observed,hbv_BB_simulated,hbv_BB_observed
783,[-0.03909089],[-0.083],[2.027],[2.11],[2.06609089],[2.11]
784,[-0.06819974],[-0.172],[1.608],[1.78],[1.67619974],[1.78]
785,[-0.04722165],[-0.126],[1.404],[1.53],[1.45122165],[1.53]
786,[-0.16011778],[-0.157],[1.273],[1.43],[1.43311778],[1.43]
787,[-0.0130284],[-0.128],[1.132],[1.26],[1.1450284],[1.26]
788,[-0.12239283],[-1.11],[1.03],[2.14],[1.15239283],[2.14]
789,[-1.066605],[-2.622],[2.728],[5.35],[3.79460497],[5.35]
790,[-0.47636744],[-1.52],[5.09],[6.61],[5.56636744],[6.61]
791,[-1.2851187],[-1.868],[6.052],[7.92],[7.3371187],[7.92]
792,[-1.2715902],[-0.511],[6.179],[6.69],[7.45059023],[6.69]
793,[-0.64496803],[-0.304],[5.906],[6.21],[6.55096803],[6.21]
794,[-0.21944912],[0.017],[5.427],[5.41],[5.64644912],[5.41]
795,[-0.5777273],[-0.802],[5.918],[6.72],[6.49572732],[6.72]
796,[0.33278748],[1.753],[8.813],[7.06],[8.48021252],[7.06]
797,[0.7327654],[0.837],[6.697],[5.86],[5.96423462],[5.86]
798,[0.18030559],[0.383],[4.963],[4.58],[4.78269441],[4.58]
799,[-0.09303402],[0.12],[3.72],[3.6],[3.81303402],[3.6]
800,[-0.04389771],[-0.064],[2.686],[2.75],[2.72989771],[2.75]
801,[0.00050952],[-0.265],[1.915],[2.18],[1.91449048],[2.18]
802,[0.02221607],[-0.296],[1.474],[1.77],[1.45178393],[1.77]
803,[0.02056234],[-0.148],[1.282],[1.43],[1.26143766],[1.43]
804,[0.00312326],[-0.075],[1.115],[1.19],[1.11187674],[1.19]
805,[-0.03621789],[-0.072],[0.978],[1.05],[1.01421789],[1.05]
806,[-0.03680404],[-0.052],[0.868],[0.92],[0.90480404],[0.92]
807,[-0.03590675],[-0.008],[0.822],[0.83],[0.85790675],[0.83]
808,[-0.24509263],[-0.077],[0.813],[0.89],[1.05809263],[0.89]
809,[-0.07736397],[-0.147],[0.803],[0.95],[0.88036397],[0.95]
810,[-0.0044568],[-0.111],[0.769],[0.88],[0.7734568],[0.88]
811,[0.01410733],[-0.066],[0.724],[0.79],[0.70989267],[0.79]
812,[0.01191748],[-0.029],[0.681],[0.71],[0.66908252],[0.71]
813,[0.02472137],[0.],[0.64],[0.64],[0.61527863],[0.64]
814,[-0.0100786],[0.012],[0.602],[0.59],[0.6120786],[0.59]
815,[-0.00107446],[0.036],[0.566],[0.53],[0.56707446],[0.53]
816,[0.01859404],[0.042],[0.532],[0.49],[0.51340596],[0.49]
817,[0.02583647],[0.04],[0.5],[0.46],[0.47416353],[0.46]
818,[0.01538133],[0.05],[0.47],[0.42],[0.45461867],[0.42]
819,[0.02157042],[0.052],[0.442],[0.39],[0.42042958],[0.39]
820,[0.02729604],[0.056],[0.416],[0.36],[0.38870396],[0.36]
821,[0.02387846],[0.051],[0.391],[0.34],[0.36712154],[0.34]
822,[0.0261207],[0.047],[0.367],[0.32],[0.3408793],[0.32]
823,[0.02012172],[0.045],[0.345],[0.3],[0.32487828],[0.3]
824,[0.02815801],[0.034],[0.324],[0.29],[0.29584199],[0.29]
825,[0.02647603],[0.035],[0.305],[0.27],[0.27852397],[0.27]
826,[0.02308255],[0.027],[0.287],[0.26],[0.26391745],[0.26]
827,[-0.07181838],[0.003],[0.273],[0.27],[0.34481838],[0.27]
828,[-0.00124809],[0.002],[0.262],[0.26],[0.26324809],[0.26]
829,[0.00978611],[-0.011],[0.249],[0.26],[0.23921389],[0.26]
830,[0.00975084],[-0.025],[0.235],[0.26],[0.22524916],[0.26]
831,[-0.115465],[-0.044],[0.226],[0.27],[0.341465],[0.27]
832,[-0.07629666],[-0.058],[0.222],[0.28],[0.29829666],[0.28]
833,[-0.36283696],[-0.337],[0.343],[0.68],[0.70583696],[0.68]
834,[-0.09253655],[-0.43],[0.42],[0.85],[0.51253655],[0.85]
835,[0.00091703],[-0.454],[0.336],[0.79],[0.33508297],[0.79]
836,[-0.0250702],[-0.41],[0.31],[0.72],[0.3350702],[0.72]
837,[0.01753009],[-0.368],[0.292],[0.66],[0.27446991],[0.66]
838,[-0.35664204],[-0.638],[0.312],[0.95],[0.66864204],[0.95]
839,[-0.08405147],[-0.606],[0.324],[0.93],[0.40805147],[0.93]
840,[0.0364406],[-0.495],[0.315],[0.81],[0.2785594],[0.81]
841,[0.02141373],[-0.424],[0.296],[0.72],[0.27458627],[0.72]
842,[0.02370205],[-0.371],[0.279],[0.65],[0.25529795],[0.65]
843,[-0.00324706],[-0.337],[0.263],[0.6],[0.26624706],[0.6]
844,[-0.00574165],[-0.3],[0.25],[0.55],[0.25574165],[0.55]
845,[-0.01317309],[-0.272],[0.238],[0.51],[0.25117309],[0.51]
846,[0.02715342],[-0.245],[0.225],[0.47],[0.19784658],[0.47]
847,[0.02466207],[-0.228],[0.212],[0.44],[0.18733793],[0.44]
848,[0.01625021],[-0.211],[0.199],[0.41],[0.18274979],[0.41]
849,[0.0253907],[-0.193],[0.187],[0.38],[0.1616093],[0.38]
850,[0.02489987],[-0.184],[0.176],[0.36],[0.15110013],[0.36]
851,[0.02480833],[-0.164],[0.166],[0.33],[0.14119167],[0.33]
852,[-0.05430475],[-0.162],[0.158],[0.32],[0.21230475],[0.32]
853,[-0.11943971],[-0.211],[0.169],[0.38],[0.28843971],[0.38]
854,[-0.3521772],[-0.284],[0.306],[0.59],[0.6581772],[0.59]
855,[-0.0839429],[-0.237],[0.393],[0.63],[0.4769429],[0.63]
856,[-0.01864232],[-0.314],[0.316],[0.63],[0.33464232],[0.63]
857,[-0.25359496],[-0.319],[0.331],[0.65],[0.58459496],[0.65]
858,[-0.00399179],[-0.298],[0.342],[0.64],[0.34599179],[0.64]
859,[-0.00599095],[-0.289],[0.331],[0.62],[0.33699095],[0.62]
860,[-0.08530673],[-0.295],[0.315],[0.61],[0.40030673],[0.61]
861,[-0.05914742],[-0.287],[0.303],[0.59],[0.36214742],[0.59]
862,[-0.01862998],[-0.291],[0.289],[0.58],[0.30762998],[0.58]
863,[-0.30398235],[-0.358],[0.292],[0.65],[0.59598235],[0.65]
864,[0.02902439],[-0.328],[0.292],[0.62],[0.26297561],[0.62]
865,[-0.00619721],[-0.284],[0.276],[0.56],[0.28219721],[0.56]
866,[0.02076735],[-0.249],[0.261],[0.51],[0.24023265],[0.51]
867,[0.00759749],[-0.225],[0.245],[0.47],[0.23740251],[0.47]
868,[-0.05972611],[-0.296],[0.234],[0.53],[0.29372611],[0.53]
869,[-0.26813602],[-0.778],[0.312],[1.09],[0.58013602],[1.09]
870,[-0.34762326],[-1.877],[1.153],[3.03],[1.50062326],[3.03]
871,[0.0246397],[-0.79],[3.],[3.79],[2.9753603],[3.79]
872,[0.14734621],[0.153],[3.363],[3.21],[3.21565379],[3.21]
873,[-0.00066168],[0.043],[2.563],[2.52],[2.56366168],[2.52]
874,[-0.1299876],[-0.466],[1.844],[2.31],[1.9739876],[2.31]
875,[-0.22317663],[-0.733],[1.657],[2.39],[1.88017663],[2.39]
876,[-0.26547104],[-0.363],[2.297],[2.66],[2.56247104],[2.66]
877,[-0.18159342],[0.026],[3.366],[3.34],[3.54759342],[3.34]
878,[0.12414447],[-0.194],[3.556],[3.75],[3.43185553],[3.75]
879,[0.04009435],[-0.212],[2.758],[2.97],[2.71790565],[2.97]
880,[-0.00377985],[-0.432],[1.898],[2.33],[1.90177985],[2.33]
881,[-0.03277636],[-0.501],[1.329],[1.83],[1.36177636],[1.83]
882,[-0.31140363],[-0.496],[1.414],[1.91],[1.72540363],[1.91]
883,[-0.02130609],[-0.347],[1.453],[1.8],[1.47430609],[1.8]
884,[-0.26467654],[-0.481],[1.589],[2.07],[1.85367654],[2.07]
885,[0.11227041],[-0.57],[2.55],[3.12],[2.43772959],[3.12]
886,[0.6018987],[-0.058],[3.442],[3.5],[2.84010127],[3.5]
887,[0.7498172],[0.174],[3.794],[3.62],[3.04418281],[3.62]
888,[0.5848383],[0.199],[3.479],[3.28],[2.89416173],[3.28]
889,[0.47396636],[0.235],[3.185],[2.95],[2.71103364],[2.95]
890,[0.7319318],[0.559],[2.969],[2.41],[2.23706819],[2.41]
891,[0.4981223],[0.585],[2.725],[2.14],[2.2268777],[2.14]
892,[0.39730722],[0.625],[2.515],[1.89],[2.11769278],[1.89]
893,[0.15951903],[0.437],[2.007],[1.57],[1.84748097],[1.57]
894,[-0.03465132],[0.151],[1.491],[1.34],[1.52565132],[1.34]
895,[-0.13214082],[0.107],[1.297],[1.19],[1.42914082],[1.19]
896,[0.03552002],[0.138],[1.148],[1.01],[1.11247998],[1.01]
897,[0.01049625],[0.123],[0.993],[0.87],[0.98250375],[0.87]
898,[0.00709327],[0.107],[0.857],[0.75],[0.84990673],[0.75]
899,[0.01267284],[0.116],[0.776],[0.66],[0.76332716],[0.66]
900,[0.02081322],[0.14],[0.73],[0.59],[0.70918678],[0.59]
901,[0.02079964],[0.156],[0.686],[0.53],[0.66520036],[0.53]
902,[0.01529515],[0.156],[0.646],[0.49],[0.63070485],[0.49]
903,[0.0260201],[0.157],[0.607],[0.45],[0.5809799],[0.45]
904,[0.02775262],[0.151],[0.571],[0.42],[0.54324738],[0.42]
905,[0.02942116],[0.157],[0.537],[0.38],[0.50757884],[0.38]
906,[0.02899217],[0.155],[0.505],[0.35],[0.47600783],[0.35]
907,[0.03094785],[0.145],[0.475],[0.33],[0.44405215],[0.33]
908,[0.02876414],[0.097],[0.447],[0.35],[0.41823586],[0.35]
909,[-0.06648879],[-0.167],[0.423],[0.59],[0.48948879],[0.59]
910,[-0.69637984],[-0.975],[0.795],[1.77],[1.49137984],[1.77]
911,[-0.22084562],[-0.635],[1.635],[2.27],[1.85584562],[2.27]
912,[-0.00378899],[-0.206],[1.884],[2.09],[1.88778899],[2.09]
913,[0.00281672],[-0.29],[1.44],[1.73],[1.43718328],[1.73]
914,[-0.070585],[-0.377],[1.133],[1.51],[1.203585],[1.51]
915,[-0.26284194],[-0.145],[1.295],[1.44],[1.55784194],[1.44]
916,[-0.13256992],[0.026],[1.676],[1.65],[1.80856992],[1.65]
917,[-0.13349624],[-0.139],[1.891],[2.03],[2.02449624],[2.03]
918,[0.06348288],[-0.068],[1.692],[1.76],[1.62851712],[1.76]
919,[-0.07636692],[-0.448],[1.262],[1.71],[1.33836692],[1.71]
920,[-0.23032829],[-1.469],[1.471],[2.94],[1.70132829],[2.94]
921,[0.18576615],[-0.954],[2.526],[3.48],[2.34023385],[3.48]
922,[0.37613013],[-0.146],[2.644],[2.79],[2.26786987],[2.79]
923,[0.05813767],[-0.291],[1.869],[2.16],[1.81086233],[2.16]
924,[-0.1196375],[-0.333],[1.387],[1.72],[1.5066375],[1.72]
925,[-0.03632414],[-0.184],[1.216],[1.4],[1.25232414],[1.4]
926,[-0.00944854],[-0.074],[1.066],[1.14],[1.07544854],[1.14]
927,[-0.02188735],[-0.039],[0.931],[0.97],[0.95288735],[0.97]
